epoch,train_loss,val_loss,train_metric,val_metric,learning_rate
1,0.24727057797960275,0.19778595235714982,0.6574415131906421,0.7315467795016455,0.0001
2,0.20876508632397012,0.18109300847727355,0.7223369725582768,0.7578659370725034,0.0001
3,0.1944903458279619,0.18267671840758173,0.7472952086553323,0.7511870845204178,0.0001
4,0.18211934324156587,0.17220572185808217,0.7649629488884666,0.7667269439421338,0.0001
5,0.17749110531568915,0.17115638703497452,0.7709084012895885,0.7693701857725419,0.0001
6,0.16724735414024863,0.16425778535629695,0.7878617061255168,0.7949260042283298,0.0001
7,0.15940213195232716,0.1608963452628454,0.803240525188565,0.8006962576153177,0.0001
8,0.1523148998308444,0.16053395701157444,0.8123844731977818,0.789261744966443,0.0001
